strategy,secret,num_guesses,solved
MaxProb,amigo,1,1
MaxProb,arbol,2,1
MaxProb,canal,2,1
MaxProb,canto,2,1
MaxProb,casos,2,1
MaxProb,cifra,2,1
MaxProb,clase,3,1
MaxProb,clave,4,1
MaxProb,costa,3,1
MaxProb,datos,3,1
MaxProb,decir,2,1
MaxProb,donde,2,1
MaxProb,error,3,1
MaxProb,firma,2,1
MaxProb,ganar,2,1
MaxProb,grano,2,1
MaxProb,hacer,3,1
MaxProb,ideas,3,1
MaxProb,lista,3,1
MaxProb,media,3,1
MaxProb,mirar,3,1
MaxProb,misma,3,1
MaxProb,norma,2,1
MaxProb,orden,3,1
MaxProb,parte,3,1
MaxProb,poner,3,1
MaxProb,prior,2,1
MaxProb,prisa,2,1
MaxProb,quien,2,1
MaxProb,razon,3,1
MaxProb,regla,3,1
MaxProb,rojas,3,1
MaxProb,ruido,2,1
MaxProb,saber,4,1
MaxProb,salud,3,1
MaxProb,senal,3,1
MaxProb,tabla,3,1
MaxProb,texto,2,1
MaxProb,token,3,1
MaxProb,tomar,3,1
MaxProb,total,3,1
MaxProb,valor,4,1
MaxProb,verde,2,1
MaxProb,zueco,3,1
Random,amigo,2,1
Random,arbol,2,1
Random,canal,3,1
Random,canto,2,1
Random,casos,3,1
Random,cifra,3,1
Random,clase,3,1
Random,clave,2,1
Random,costa,2,1
Random,datos,2,1
Random,decir,2,1
Random,donde,2,1
Random,error,1,1
Random,firma,2,1
Random,ganar,2,1
Random,grano,3,1
Random,hacer,2,1
Random,ideas,3,1
Random,lista,1,1
Random,media,3,1
Random,mirar,2,1
Random,misma,2,1
Random,norma,3,1
Random,orden,3,1
Random,parte,2,1
Random,poner,2,1
Random,prior,2,1
Random,prisa,2,1
Random,quien,2,1
Random,razon,1,1
Random,regla,3,1
Random,rojas,2,1
Random,ruido,2,1
Random,saber,2,1
Random,salud,3,1
Random,senal,2,1
Random,tabla,2,1
Random,texto,2,1
Random,token,2,1
Random,tomar,2,1
Random,total,2,1
Random,valor,1,1
Random,verde,3,1
Random,zueco,2,1
